list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,AOI_id,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,0,У,R1,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,1,бабушки,R1,нет,нет,1.0,246.0,246.0,246.0,246.0,246.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,2,старый,R2,нет,нет,1.0,186.0,432.0,186.0,186.0,186.0,1.0,0.0,1,1
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,3,духовка,R3,нет,нет,1.0,307.0,307.0,307.0,307.0,553.0,1.0,1.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,4,уже,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,5,год,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,6,плохо,R5,нет,нет,1.0,246.0,246.0,246.0,246.0,246.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,7,работает.,R6,нет,нет,1.0,184.0,184.0,184.0,184.0,184.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,0,На,R1,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,1,стене,R1,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,2,рваная,R2,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
