"Dependent.Variable","Model.Type","AIC","BIC"
"gaze_duration","L model",1505.52929902546,1562.5351722562
"gaze_duration","S model",1463.09600186692,1519.97577513056
"go_past_time","L model",1943.26069798892,2000.14047125256
"go_past_time","S model",1936.61752707014,1993.49730033378
"total_duration","L model",1831.00587521353,1887.97826287807
"total_duration","S model",1762.44729519149,1819.12225260785
"FPReg","L model",817.037694862442,842.949455421868
"FPReg","S model",815.884394131119,841.796154690545
"RegIn_incl","L model",1151.54242863549,1177.54455310021
"RegIn_incl","S model",1155.47241412376,1181.47453858849
