"measure","beta","bval","pval","sig"
"gaze_duration","b_0",6.06193864087649,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000224206835110121,"SIG"
"gaze_duration","b_Gram",0.319197197746363,0.00120906189275509,"SIG"
"gaze_duration","b_Gen",-0.0268977092762372,0.685561096848476,""
"gaze_duration","b_TypL",0.409015502952425,0.0131174813411105,"SIG"
"gaze_duration","b_TypS",-0.449475925774739,0.00705558889329331,"SIG"
"gaze_duration","b_Gram_x_TypL",-0.0394732069896991,0.137191326874061,""
"gaze_duration","b_Gram_x_TypS",0.0406336345235458,0.122997870103205,""
"gaze_duration","b_Gram_x_Gen_x_TypL",0.0156063921620589,0.506002112424576,""
"gaze_duration","b_Gram_x_Gen_x_TypS",0.0159532187492959,0.497851049678605,""
"go_past_time","b_0",6.14154620937113,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000141369427951939,"SIG"
"go_past_time","b_Gram",0.530768134471668,0.0000109975531976249,"SIG"
"go_past_time","b_Gen",0.00266349357131114,0.973500671688587,""
"go_past_time","b_TypL",0.505765336234902,0.00152118380292267,"SIG"
"go_past_time","b_TypS",-0.568627304806263,0.000499630992891163,"SIG"
"go_past_time","b_Gram_x_TypL",-0.0403351586936502,0.209307232925809,""
"go_past_time","b_Gram_x_TypS",0.0677677234975439,0.0335361796693278,"SIG"
"go_past_time","b_Gram_x_Gen_x_TypL",-0.000906059133031152,0.974448510822171,""
"go_past_time","b_Gram_x_Gen_x_TypS",0.0357177274898228,0.207606312014359,""
"total_duration","b_0",6.1890156176428,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000577462318984005,"SIG"
"total_duration","b_Gram",0.643725512205388,0.00000000111477755268557,"SIG"
"total_duration","b_Gen",-0.00622941808966391,0.934724748395936,""
"total_duration","b_TypL",0.601770200304704,0.00221480115908717,"SIG"
"total_duration","b_TypS",-0.672746494057815,0.000811529829241404,"SIG"
"total_duration","b_Gram_x_TypL",-0.0352857462893517,0.246331271447678,""
"total_duration","b_Gram_x_TypS",0.0522634490352333,0.0839945896818979,"."
"total_duration","b_Gram_x_Gen_x_TypL",0.0372583589161163,0.16425690975866,""
"total_duration","b_Gram_x_Gen_x_TypS",0.0291596685867061,0.276832594003433,""
"FPReg","b_0",-2.50426742018231,0.0000000000000000000000000000000000000000000000000000000000131149204268787,"SIG"
"FPReg","b_Gram",3.71061125149996,0.0000036595440851384,"SIG"
"FPReg","b_Gram_x_TypL",-0.138996494482095,0.562114167340128,""
"FPReg","b_Gram_x_TypS",0.313125586324221,0.204194740242851,""
"FPReg","b_Gram_x_Gen_x_TypL",-0.0343518890645084,0.86601234466673,""
"FPReg","b_Gram_x_Gen_x_TypS",0.0186971019878706,0.926978301649861,""
"RegIn_incl","b_0",-2.06071256292519,0.0000000000000000000000000751514167806884,"SIG"
"RegIn_incl","b_Gram",0.792669611487584,0.193668029199389,""
"RegIn_incl","b_Gram_x_TypL",0.285655680266896,0.141177273418735,""
"RegIn_incl","b_Gram_x_TypS",-0.240854136293493,0.217303440096585,""
"RegIn_incl","b_Gram_x_Gen_x_TypL",0.349832974730859,0.0416472562053967,"SIG"
"RegIn_incl","b_Gram_x_Gen_x_TypS",-0.123076703341367,0.47679561081867,""
